Province,Venue Name,Venue Category,Venue Lat,Venue Long,Address
Metro Manila,A-Venue,Shopping Plaza,14.566348,121.029846,Makati
Metro Manila,A-Venue,Bar,14.566239,121.029631,
Metro Manila,Cowboy Grill,Music Venue,14.57832,120.980635,"A. Mabini Corner Arquiza Street (Arquiza st), 1000 Maynila, City of Manila"
Metro Manila,Peta Theater Center,Music Venue,14.624319,121.026294,"Street Peter Julian Eymard Drive, 1112 Quezon City, Quezon City"
Metro Manila,70's Bistro,Rock Club,14.63065,121.061519,"46 Anonas Street, 1102 Quezon City, Quezon City"
Metro Manila,Love One Another Sound Production,Music Venue,14.58319,121.077573,"2/F, FRDC Building (106 E. Rodriguez Avenue (C5/Libis)), Pasig, Pasig"
Metro Manila,Philippine International Convention Center,Convention Center,14.554414,120.98319,"CCP Complex, Roxas Boulevard, 1307 Pasay, Pasay City"
Metro Manila,Monkey Mic Family KTV,Music Venue,14.672819,121.062205,3Lot 8 Congressional Avenue
Metro Manila,The PICC Forum,Business and Professional Services,14.555209,120.984351,"Roxas Boulevard, Pasay, Pasay City"
Metro Manila,Sky Dome,Amphitheater,14.65575,121.031423,"Sky Garden, SM City North EDSA Complex (btwn Epifanio delos Santos Ave. & North Ave.), 1105 Quezon City, Quezon City"
Cebu,Open Mic,Karaoke Bar,10.305048,123.876834,"6000 Cebu City, Cebu"
Cebu,D' Voice KTV & Grill,Music Venue,10.31327,123.880007,"R. Duterte Street, 6000 Cebu City, Cebu"
Cebu,Music One,Karaoke Bar,10.328621,123.906038,"Cebu IT Park, 6000 Cebu City, Cebu"
Cebu,LIV Superclub,Music Venue,10.315519,123.885609,"6000 Cebu City, Cebu"
Cebu,Two Mango,Music Venue,10.310016,123.895643,"Gen. Maxilom Avenue, 6000 Cebu City, Cebu"
Cebu,UP Serenata,Music Venue,10.321818,123.899151,"Gorordo Avenue, Lahug, 6000 Cebu City, Cebu"
Cebu,Zzubu Recording Studio,Concert Hall,10.318393,123.90125,
Cebu,"CAP Arts Center, Osmeña Blvd",Performing Arts Venue,10.30664,123.893734,6000 Cebu City
Cebu,Kalye Musika Recording Studio,Music Venue,10.31088,123.881368,
Cebu,Center For Pop,Music School,10.311312,123.901524,"Gen. Maxilom Avenue, 6000 Cebu City"
Cavite,Cowboy Grill,Music Venue,14.57832,120.980635,"A. Mabini Corner Arquiza Street (Arquiza st), 1000 Maynila, City of Manila"
Cavite,Philippine International Convention Center,Convention Center,14.554414,120.98319,"CCP Complex, Roxas Boulevard, 1307 Pasay, Pasay City"
Cavite,Peta Theater Center,Music Venue,14.624319,121.026294,"Street Peter Julian Eymard Drive, 1112 Quezon City, Quezon City"
Cavite,70's Bistro,Rock Club,14.63065,121.061519,"46 Anonas Street, 1102 Quezon City, Quezon City"
Cavite,Love One Another Sound Production,Music Venue,14.58319,121.077573,"2/F, FRDC Building (106 E. Rodriguez Avenue (C5/Libis)), Pasig, Pasig"
Cavite,Music 21 Plaza,Karaoke Bar,14.427969,121.023317,"N T Center, Alabang - Zapote Road, Muntinlupa, Rizal"
Cavite,Air Force One Digital KTV,Karaoke Bar,14.492175,120.99183,"Ninoy Aquino Avenue, Paranaque"
Cavite,The PICC Forum,Business and Professional Services,14.555209,120.984351,"Roxas Boulevard, Pasay, Pasay City"
Cavite,Monkey Mic Family KTV,Music Venue,14.672819,121.062205,3Lot 8 Congressional Avenue
Cavite,Cherry Studios,Music Venue,14.454262,121.030441,"Presidents Avenue, 1720 Paranaque"
Bulacan,The Venue,Event Space,15.052556,120.696877,3017 Bulacan
Bulacan,Ignite Recording Studio,Music Venue,14.874814,120.797111,
Bulacan,Bulacan Kalinangan,Performing Arts Venue,14.8322,120.8181,"3000 Malolos, Bulacan"
Bulacan,Banda 31 Original of Sta. Maria Bulacan Inc. Rehearsal Hall,Music Venue,14.817487,120.966056,"3022 Santa, Bulacan"
Bulacan,Sr. Pedro Videoke Hub,Music Venue,14.720178,121.052631,"Commonwealth Avenue, Quezon City, Quezon City"
Bulacan,Khub,Music Venue,14.754507,120.955589,"SM City Marilao, MacArthur Hwy, 3019 Marilao, Bulacan"
Bulacan,RG Sisig,Music Venue,14.741886,120.957053,"Meycauayan, Bulacan"
Bulacan,K-Hub,Music Venue,14.753603,120.976314,"3019 Marilao, Bulacan"
Bulacan,Tom's Grill,Music Venue,15.052265,120.700065,"2000 Lungsod ng San Fernando, Pampanga"
Bulacan,Center for Pop Music,Performing Arts Venue,15.044622,120.687895,"Gapan-San Fernando-Olongapo Road (Jose Abad Santos Ave., Dolores,), 2000 Lungsod ng San Fernando, Pampanga"
Laguna,Venue,Arts and Entertainment,14.197227,121.162087,"National Highway, 4027 Calamba"
Laguna,Bertito's Anyhaw Restaurant,Beer Garden,14.198069,121.161253,"National Highway, 4027 Calamba, Laguna"
Laguna,Lyrics and Tidbits,Music Venue,14.265843,121.425841,"4009 Santa, Laguna"
Laguna,Highscore Ktv,Music Venue,14.087165,121.309089,"4000 San Pablo City, Laguna"
Laguna,Uno Cinco Music Studio,Music Venue,14.243137,121.113432,"4026 Cabuyao, Laguna"
Laguna,Center for pop,Music Venue,14.289,121.108319,Laguna
Laguna,Eldar's Tent,Performing Arts Venue,14.282086,121.094473,"2703 Santa, Laguna"
Laguna,Hulo,Jazz and Blues Venue,14.512763,121.236206,"1960 Morong, Rizal"
Laguna,Lazer Music,Music Venue,14.203461,121.155005,"Calamba, City of Manila"
