Place,No. of Foreign Tourists in 2018
Metro Manila,"286,858"
Caloocan City,-
Las Piñas City,-
Makati City,-
Malabon City,-
Mandaluyong City,-
Manila,-
Marikina City,-
Muntinlupa City,-
Navotas City,-
Parañaque City,-
Pasay City,-
Pasig City,-
Quezon City,-
San Juan City,-
Taguig City,-
Valenzuela City,-
Pateros,-
CAR (Cordillera Administrative Region) ,"89,351"
Abra,-
Apayao,7
Benguet,"1,500"
Ifugao,"35,664"
Kalinga,"8,378"
Mountain Province,"8,568"
Barlig,73
Bauko,225
Sagada,"7,348"
Sadanga,-
Tadian,18
Bontoc,904
Baguio City,"35,234"
Region I (ILOCOS REGION),"82,517"
Ilocos Norte,"51,879"
Bangui,-
Batac,-
Burgos,-
Currimao,75
Laoag City,"4,805"
Pagudpud,"45,659"
Paoay,14
Pasuquin,-
San Nicolas,"1,326"
Sarat,-
Ilocos Sur,"3,939"
Bantay,900
Candon City,234
Sinait,-
Vigan City,"2,805"
La Union,"18,698"
Agoo,2
Aringay,-
Bacnotan,-
Baloaon,-
Bangar,-
Bauang,"4,891"
Burgos,-
Caba,75
Luna,-
Naguilian,-
Pugo,-
Rosario,22
San Fernando City,"8,629"
San Juan,"4,958"
Santol,-
Sto. Tomas,49
Sudipen,52
Tubao,20
Pangasinan,"8,001"
Alaminos,"3,791"
Anda,125
Balungao,8
Bolinao,"1,106"
Bugallion,139
Dagupan City,393
Dasol,-
Labrador,498
Lingayen,661
San Fabian,-
Urdaneta City,"1,185"
Villasis,95
Region II (CAGAYAN VALLEY) ,"270,431"
Batanes,"1,867"
Cagayan,"259,915"
Tuguegarao City,"2,451"
Others,"257,464"
Isabela,"4,814"
Cauayan City,"2,009"
Ilagan City,375
Santiago City,"1,596"
Others,834
Nueva Vizcaya,"3,304"
Quirino,531
Region III (CENTRAL LUZON),"339,910"
Aurora,64
Bataan,"6,954"
Bulacan,682
Nueva Ecija,"13,209"
Pampanga,"178,397"
Clark,"170,867"
San Fernando City,"7,530"
Others,-
Tarlac City,"4,690"
Zambales,"35,708"
Subic,"42,250"
Angeles City,"57,956"
Olongapo City,-
Region IV-A CALABARZON,"564,121"
Batangas,"472,546"
Alitagtag,-
Balayan,298
Batangas City,"8,746"
Balete,-
Bauan,55
Calatagan,308
Cuenca,-
Ibaan,-
Laurel,-
Lemery,-
Lian,-
Lipa City,"7,244"
Lobo,-
Mabini,-
Malvar,"9,061"
Mataas na Kahoy,-
Nasugbu,"26,238"
Rosario,-
San Juan,814
Santo Tomas,"22,851"
Taal,-
Talisay,"396,931"
Tanauan,-
Tingloy,-
Cavite,"59,998"
Amadeo,-
Cavite City,-
Gen. Trias,"14,605"
Tagaytay City,"21,342"
Trece Martirez,"24,051"
Laguna,"18,472"
Calamba City,"1,178"
Calauan,396
Cavinti,-
Los Bañ0s,62
Lumban,"1,954"
Majayjay,-
Nagcarlan,95
Rizal,"13,100"
San Pablo,-
Sta. Rosa City,"1,687"
Victoria,-
Quezon,"10,139"
Agdangan,-
Alamat,18
Atimonan,-
Buenavista,3
Burdeos,-
Calauag,5
Catanauan,337
Candelaria,368
Dolores,-
Gen Luna,-
Gen. Nakar,-
Guinayangan,-
Gumaca,161
Infanta,-
Jomalig,-
Lopez,490
Lucban,-
Lucena City,-
Macelolon,-
Mauban,"1,840"
Padre Burgos,88
Pagbilao,207
Panukulan,-
Patnanungan,-
Plaridel,-
Perez,24
Polillo,188
Quezon,23
Real,-
Sampaloc,232
San Andres,-
San Antonio,-
San Francisco,-
Sariaya,"5,674"
Tagkawayan,70
Tayabas,-
Tiaong,411
Unisan,-
Rizal ,2966 
Antipolo City,666
Angono,-
Baras,-
Binangonan,-
Cainta,-
Cordona,-
Jalajala,-
Morong,-
Pililia,-
Rodriguez,-
San Mateo,-
Tanay,"2,300"
Taytay,-
Teresa,-
Region IV-B MIMAROPA ,"753,629"
Marinduque,269
Boac,72
Buenavista,-
Gasan,137
Mogpog,-
Sta. Cruz,60
Torrijos,-
Occidental Mindoro,"6,061"
Abra de Ilog,-
Calintaan,516
Looc,30
Lubang,335
Magsaysay,34
Mamburao,114
Paluan,-
Rizal,-
Sablayan,"3,196"
