location,num_tourists
Metro Manila,286858
CAR (Cordillera Administrative Region) ,89351
Apayao,7
Benguet,1500
Ifugao,35664
Kalinga,8378
Mountain Province,8568
Barlig,73
Bauko,225
Sagada,7348
Tadian,18
Bontoc,904
Baguio City,35234
Region I (ILOCOS REGION),82517
Ilocos Norte,51879
Currimao,75
Laoag City,4805
Pagudpud,45659
Paoay,14
San Nicolas,1326
Ilocos Sur,3939
Bantay,900
Candon City,234
Vigan City,2805
La Union,18698
Agoo,2
Bauang,4891
Caba,75
Rosario,22
San Fernando City,8629
San Juan,4958
Sto. Tomas,49
Sudipen,52
Tubao,20
Pangasinan,8001
Alaminos,3791
Anda,125
Balungao,8
Bolinao,1106
Bugallion,139
Dagupan City,393
Labrador,498
Lingayen,661
Urdaneta City,1185
Villasis,95
Region II (CAGAYAN VALLEY) ,270431
Batanes,1867
Cagayan,259915
Tuguegarao City,2451
Others,257464
Isabela,4814
Cauayan City,2009
Ilagan City,375
Santiago City,1596
Others,834
Nueva Vizcaya,3304
Quirino,531
Region III (CENTRAL LUZON),339910
Aurora,64
Bataan,6954
Bulacan,682
Nueva Ecija,13209
Pampanga,178397
Clark,170867
San Fernando City,7530
Tarlac City,4690
Zambales,35708
Subic,42250
Angeles City,57956
Region IV-A CALABARZON,564121
Batangas,472546
Balayan,298
Batangas City,8746
Bauan,55
Calatagan,308
Lipa City,7244
Malvar,9061
Nasugbu,26238
San Juan,814
Santo Tomas,22851
Talisay,396931
Cavite,59998
Gen. Trias,14605
Tagaytay City,21342
Trece Martirez,24051
Laguna,18472
Calamba City,1178
Calauan,396
Los Bañ0s,62
Lumban,1954
Nagcarlan,95
Rizal,13100
Sta. Rosa City,1687
Quezon,10139
Alamat,18
Buenavista,3
Calauag,5
Catanauan,337
Candelaria,368
Gumaca,161
Lopez,490
Mauban,1840
Padre Burgos,88
Pagbilao,207
Perez,24
Polillo,188
Quezon,23
Sampaloc,232
Sariaya,5674
Tagkawayan,70
Tiaong,411
Rizal ,2966
Antipolo City,666
Tanay,2300
Region IV-B MIMAROPA ,753629
Marinduque,269
Boac,72
Gasan,137
Sta. Cruz,60
Occidental Mindoro,6061
Calintaan,516
Looc,30
Lubang,335
Magsaysay,34
Mamburao,114
Sablayan,3196
San Jose,1730
Santa Cruz,106
Oriental Mindoro,47012
Baco,59
Bansud,35
Bongabong,52
Bulalacao,301
Calapan City,7096
Gloria,59
Mansalay,117
Pinamalayan,169
Pola,10
Puerto Galera,38714
Roxas,76
San Teodoro,125
Victoria,199
Palawan,217299
Aborlan,560
Araceli,62
Balabac,1533
Busuanga,1770
Brookes Point,863
Coron,44618
Cuyo,181
Culion,375
Dumaran,122460
Espanola,4
Linapacan,7491
Magsaysay,58
Narra,290
Quezon,299
Rizal,1260
Roxas,590
San Vicente,27556
Taytay,7329
Romblon,1158
Alcantara,96
Looc,4
Odiongan,162
Romblon,639
San Agustin,14
San Fernando,33
San Jose,210
Puerto Princesa City,481830
Region V (BICOL REGION),1003485
Albay ,395225
Legazpi City,383605
Others,11620
Camarines Norte,41466
Others,41466
Camarines Sur,514913
Iriga City,14600
Naga City,198361
Others,301952
Catanduanes,7759
Masbate Province,625
Masbate City,7800
Sorsogon Province,7211
Sorsogon City,28486
Region VI (WESTERN VISAYAS),783731
Aklan,572588
Boracay,565351
Buruanga,546
Kalibo,6462
Nabas,2
New Washington,227
Antique,6668
Anini-y,233
Belison,97
Culasi,2334
Pandan,2766
Sebaste,1234
